Config, Result
stripe/read/2/bestcase,348.000
stripe/read/2/generaluse,152.500
stripe/read/2/worstcase,186.166
stripe/read/3/bestcase,473.833
stripe/read/3/generaluse,226.333
stripe/read/3/worstcase,187.333
stripe/read/4/bestcase,545.833
stripe/read/4/generaluse,302.666
stripe/read/4/worstcase,186.500
stripe/read/5/bestcase,596.500
stripe/read/5/generaluse,394.333
stripe/read/5/worstcase,183.000
stripe/read/6/bestcase,700.666
stripe/read/6/generaluse,479.666
stripe/read/6/worstcase,180.833
stripe/write/2/bestcase,167.833
stripe/write/2/generaluse,106.166
stripe/write/2/worstcase,75.183
stripe/write/3/bestcase,206.166
stripe/write/3/generaluse,125.833
stripe/write/3/worstcase,79.800
stripe/write/4/bestcase,229.666
stripe/write/4/generaluse,143.500
stripe/write/4/worstcase,83.016
stripe/write/5/bestcase,251.166
stripe/write/5/generaluse,158.000
stripe/write/5/worstcase,84.416
stripe/write/6/bestcase,269.333
stripe/write/6/generaluse,169.666
stripe/write/6/worstcase,85.366
stripe/rw/2/bestcase Read,120.333
stripe/rw/2/bestcase Write,121.000
stripe/rw/2/generaluse Read,59.833
stripe/rw/2/generaluse Write,60.266
stripe/rw/2/worstcase Read,48.616
stripe/rw/2/worstcase Write,48.533
stripe/rw/3/bestcase Read,146.166
stripe/rw/3/bestcase Write,146.166
stripe/rw/3/generaluse Read,78.333
stripe/rw/3/generaluse Write,78.950
stripe/rw/3/worstcase Read,52.183
stripe/rw/3/worstcase Write,52.083
stripe/rw/4/bestcase Read,161.500
stripe/rw/4/bestcase Write,161.500
stripe/rw/4/generaluse Read,93.250
stripe/rw/4/generaluse Write,94.033
stripe/rw/4/worstcase Read,53.516
stripe/rw/4/worstcase Write,53.450
stripe/rw/5/bestcase Read,166.833
stripe/rw/5/bestcase Write,166.500
stripe/rw/5/generaluse Read,105.166
stripe/rw/5/generaluse Write,105.666
stripe/rw/5/worstcase Read,55.033
stripe/rw/5/worstcase Write,54.966
stripe/rw/6/bestcase Read,173.166
stripe/rw/6/bestcase Write,173.166
stripe/rw/6/generaluse Read,112.500
stripe/rw/6/generaluse Write,113.166
stripe/rw/6/worstcase Read,56.133
stripe/rw/6/worstcase Write,56.033
stripe/randread/2/bestcase,58.116
stripe/randread/2/generaluse,22.900
stripe/randread/2/worstcase,.437
stripe/randread/3/bestcase,59.016
stripe/randread/3/generaluse,31.766
stripe/randread/3/worstcase,.469
stripe/randread/4/bestcase,61.950
stripe/randread/4/generaluse,41.250
stripe/randread/4/worstcase,.492
stripe/randread/5/bestcase,64.366
stripe/randread/5/generaluse,50.350
stripe/randread/5/worstcase,.517
stripe/randread/6/bestcase,64.033
stripe/randread/6/generaluse,59.200
stripe/randread/6/worstcase,.548
stripe/randwrite/2/bestcase,163.166
stripe/randwrite/2/generaluse,36.166
stripe/randwrite/2/worstcase,1.457
stripe/randwrite/3/bestcase,196.166
stripe/randwrite/3/generaluse,43.966
stripe/randwrite/3/worstcase,1.543
stripe/randwrite/4/bestcase,216.666
stripe/randwrite/4/generaluse,51.266
stripe/randwrite/4/worstcase,1.617
stripe/randwrite/5/bestcase,233.166
stripe/randwrite/5/generaluse,57.900
stripe/randwrite/5/worstcase,1.696
stripe/randwrite/6/bestcase,246.333
stripe/randwrite/6/generaluse,63.366
stripe/randwrite/6/worstcase,1.769
stripe/randrw/2/bestcase Read,42.266
stripe/randrw/2/bestcase Write,44.116
stripe/randrw/2/generaluse Read,9.944
stripe/randrw/2/generaluse Write,10.096
stripe/randrw/2/worstcase Read,.201
stripe/randrw/2/worstcase Write,.210
stripe/randrw/3/bestcase Read,44.950
stripe/randrw/3/bestcase Write,46.816
stripe/randrw/3/generaluse Read,12.900
stripe/randrw/3/generaluse Write,13.150
stripe/randrw/3/worstcase Read,.218
stripe/randrw/3/worstcase Write,.226
stripe/randrw/4/bestcase Read,47.100
stripe/randrw/4/bestcase Write,48.866
stripe/randrw/4/generaluse Read,16.300
stripe/randrw/4/generaluse Write,16.516
stripe/randrw/4/worstcase Read,.234
stripe/randrw/4/worstcase Write,.241
stripe/randrw/5/bestcase Read,48.533
stripe/randrw/5/bestcase Write,50.400
stripe/randrw/5/generaluse Read,19.250
stripe/randrw/5/generaluse Write,19.350
stripe/randrw/5/worstcase Read,.244
stripe/randrw/5/worstcase Write,.252
stripe/randrw/6/bestcase Read,48.883
stripe/randrw/6/bestcase Write,50.800
stripe/randrw/6/generaluse Read,21.816
stripe/randrw/6/generaluse Write,21.883
stripe/randrw/6/worstcase Read,.247
stripe/randrw/6/worstcase Write,.254
mirror/read/2/bestcase,194.000
mirror/read/2/generaluse,101.500
mirror/read/2/worstcase,187.333
mirror/read/3/bestcase,292.166
mirror/read/3/generaluse,106.333
mirror/read/3/worstcase,182.833
mirror/read/4/bestcase,404.500
mirror/read/4/generaluse,106.166
mirror/read/4/worstcase,180.666
mirror/read/5/bestcase,494.833
mirror/read/5/generaluse,113.166
mirror/read/5/worstcase,181.666
mirror/read/6/bestcase,570.500
mirror/read/6/generaluse,114.000
mirror/read/6/worstcase,178.000
